PG_1pcCP,PG_1pcCP,G_1pcCP,G_1pcCP,P_1p5pcCP,P_1p5pcCP,PG_1p5pcCP,PG_1p5pcCP,G_1p5pcCP,G_1p5pcCP,P_2pcCP,P_2pcCP,PG_2pcCP,PG_2pcCP,G_2pcCP,G_2pcCP,P_3pc,P_3pc,PG_3pc,PG_3pc,G_3pc,G_3pc,P_5pc,P_5pc,PG_5pc,PG_5pc,G_5pc,G_5pc,P_8pc,P_8pc,PG_8pc,PG_8pc,G_8pc,G_8pc
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.021938237,1.592282793,0.01514459,2.535364494,0.023205525,1.450828778,0.047186715,10.72267222,0.033389134,11.23324033,0.047579443,8.902150854,0.047186715,24.77076356,0.033389134,27.18588243,0.221655755,55.88210117,0.15953973,101.6949226,0.147846593,119.1480548,0.226969279,160.4924273,0.163348351,358.7108603,0.151391996,336.6463523,0.221655755,563.5196842,0.155819911,648.6998472,0.147846593,704.4109314
0.033389134,1.83073828,0.021402874,2.782559402,0.033641993,1.7475284,0.07006378,12.32846739,0.049576855,14.84968262,0.068977854,10.23531022,0.07006378,27.18588243,0.010716252,23.64489413,0.323808367,63.36043961,0.232703695,113.9119649,0.216011486,131.6937661,0.331570689,177.4560904,0.238258926,401.804317,0.226495738,376.779232,0.323808367,615.3056587,0.227277988,735.8483513,0.216011486,788.3864118
0.049576855,2.20513074,0.031779417,3.678379772,0.047579443,2.009233003,0.104032104,13.53047775,0.073612707,14.84968262,0.1,11.23324033,0.099016633,29.8364724,0.049576855,29.8364724,0.484378865,69.18309709,0.339420216,129.2152787,0.323172176,147.393476,0.484378865,198.6926574,0.347523043,450.0747734,0.323172176,421.6965034,0.484378865,697.6480162,0.331506313,813.924163,0.323172176,882.3729256
0.07006378,2.782559402,0.047186715,4.86260158,0.070706993,2.535364494,0.154468953,16.29750835,0.104032104,19.6304065,0.148608281,13.53047775,0.147021881,35.93813664,0.07006378,32.74549163,0.724573263,81.45337631,0.50689503,146.5744908,0.472171191,173.4324802,0.707610451,231.01297,0.50689503,497.8291147,0.483493991,490.0240454,0.707610451,771.3877313,0.495076294,911.7043241,0.472171191,1000
0.104032104,3.511191734,0.066685949,4.86260158,0.102506803,2.915053063,0.229358596,19.6304065,0.154468953,23.64489413,0.220844212,15.55676144,0.207776567,43.28761281,0.104032104,37.64935807,1.058501208,93.520989,0.739354055,177.0823116,0.706409618,199.0274797,1.083875561,261.9279345,0.757004325,579.1268794,0.723349522,569.4227083,1.058501208,874.6175383,0.705278518,1047.304556,0.689866425,1133.307665
0.154468953,4.430621458,0.094242962,6.428073117,0.148608281,3.351602651,0.332245592,23.64489413,0.229358596,25.95024211,0.312337159,17.07352647,0.30851081,47.50810162,0.154468953,41.320124,1.583392113,106.0362952,1.104161975,200.8721408,1.032100829,228.3997647,1.583392113,296.9800477,1.130521142,648.6998472,1.032100829,653.4575668,1.583392113,979.2849742,1.078417397,1218.334166,1.032100829,1316.937661
0.218301035,5.590810183,0.139933838,7.742636827,0.23205525,4.037017259,0.481286227,27.18588243,0.357806371,34.30469286,0.464158883,20.56512308,0.458083033,52.14008288,0.229358596,47.50810162,2.31311663,121.7459563,1.610524045,236.6396919,1.50795246,262.1067835,2.368566577,336.7229575,1.648971368,745.1827169,1.54411359,749.8942093,2.31311663,1082.793038,1.572973157,1399.540277,1.54411359,1511.290061
0.32413775,7.054802311,0.2129738,8.902150854,0.312337159,4.86260158,0.714623433,34.30469286,0.531278069,45.34878508,0.689778538,24.77076356,0.647379284,62.80291442,0.332245592,54.62277218,3.379143105,139.7830607,2.349100727,275.2840328,2.25602947,304.5759813,3.460147801,391.4959492,2.405179763,866.874453,2.203196197,871.3996703,3.379143105,1212.373301,2.349100727,1648.744215,2.25602947,1734.324802
0.469541323,8.902150854,0.332245592,11.23324033,0.464158883,6.428073117,1.035193316,41.320124,0.788852322,54.62277218,1.025068028,28.48035868,0.961241734,83.02175681,0.493324912,62.80291442,4.936460177,164.5749138,3.346494873,320.2391708,3.296175231,358.3833511,5.175970227,443.8873078,3.508180799,1034.185728,3.296175231,1000,5.054796821,1374.617341,3.426384254,1966.960418,3.296175231,1990.274797
0.714623433,11.23324033,0.493324912,14.17474163,0.689778538,7.742636827,1.537075779,49.77023564,1.171303734,65.79332247,1.486082811,34.30469286,1.499566277,91.11627561,0.714623433,79.24828984,7.384358233,193.7638376,5.117011505,382.0469952,4.815881751,421.6965034,7.561375801,509.65082,5.239167641,1203.072974,4.931367969,1176.663207,7.211484782,1618.418779,4.997703555,2259.511721,4.815881751,2493.096738
1.035193316,14.84968262,0.732498715,18.73817423,1.025068028,10.23531022,2.282280916,62.80291442,1.739175255,79.24828984,2.20844212,41.320124,2.226586056,120.450354,1.061087193,91.11627561,10.78752489,231.01297,7.289620477,444.4370119,7.204982546,490.0240454,11.04612304,592.5530976,7.463642339,1399.540277,7.204982546,1384.536304,10.53498071,1905.460718,7.463642339,2628.50029,7.377760083,2970.476268
1.499566277,17.88649529,1.061087193,23.64489413,1.523335977,12.32846739,3.306079592,79.24828984,2.457864517,95.45484567,3.281927873,49.77023564,2.850595678,145.0828778,1.537075779,109.7498765,15.75908015,268.5906617,11.14631077,530.2156651,10.52685053,576.593265,16.13685624,688.9406623,11.41240168,1628.091587,10.7792874,1649.648074,15.75908015,2187.761624,10.88642402,3135.814507,10.52685053,3628.963572
